ticker,oos_accuracy,oos_n,confident_n,tier
NG=F,0.4932,551,440,TIER_3
GC=F,0.5189,551,424,TIER_1
SI=F,0.5089,551,448,TIER_3
CL=F,0.5361,551,429,TIER_2
HG=F,0.5119,551,420,TIER_2
HO=F,0.5022,551,456,TIER_3
PA=F,0.5079,551,443,TIER_3
EURUSD=X,0.7337,551,492,TIER_2
GBPUSD=X,0.673,551,477,TIER_2
USDJPY=X,0.5991,551,454,TIER_2
AUDUSD=X,0.6409,551,465,TIER_2
DX-Y.NYB,0.4722,551,396,TIER_1
^TNX,0.4963,551,409,TIER_1
^IRX,0.5911,551,450,TIER_1
^GSPC,0.5183,551,436,TIER_2
^VIX,0.5795,551,459,TIER_1
HYG,0.521,551,428,TIER_2
