date,ticker,spot,m1,m2,m3,m4,m5,regime,contango_m1_pct,contango_m2_pct,contango_m3_pct,roll_yield_annualized_pct,curve_slope
2026-05-03,CL=F,101.940002,101.940002,96.540001,91.559998,87.389999,83.919998,FLAT,0.0,-5.2972,-10.1825,-0.0,-10.1825
2026-05-03,GC=F,4644.5,4644.5,4661.399902,4679.899902,4696.399902,,FLAT,0.0,0.3639,0.7622,-0.0,0.7622
2026-05-03,NG=F,2.78,2.78,3.075,3.142,3.13,,FLAT,0.0,10.6115,13.0216,-0.0,13.0216
2026-05-03,SI=F,76.431,76.166,76.431,76.711998,,,BACKWARDATION,-0.3467,0.0,0.3676,4.1604,0.7169
2026-05-03,HG=F,5.9845,5.9565,5.9845,6.0135,,,BACKWARDATION,-0.4679,0.0,0.4846,5.6148,0.9569
2026-05-04,CL=F,105.230003,105.230003,100.720001,95.82,91.650002,88.169998,FLAT,0.0,-4.2859,-8.9423,-0.0,-8.9423
2026-05-04,GC=F,4525.0,4525.0,4552.799805,4560.0,4577.200195,,FLAT,0.0,0.6144,0.7735,-0.0,0.7735
2026-05-04,NG=F,2.849,2.849,3.14,3.212,3.199,,FLAT,0.0,10.2141,12.7413,-0.0,12.7413
2026-05-04,SI=F,73.190002,73.080002,73.190002,73.364998,,,FLAT,-0.1503,0.0,0.2391,1.8036,0.39
2026-05-04,HG=F,5.8635,5.8355,5.8635,5.88,,,BACKWARDATION,-0.4775,0.0,0.2814,5.73,0.7626
2026-05-05,CL=F,102.129997,102.129997,97.959999,93.809998,89.900002,86.510002,FLAT,0.0,-4.083,-8.1465,-0.0,-8.1465
2026-05-05,GC=F,4570.5,4570.600098,4586.600098,4606.100098,4624.0,,FLAT,0.0022,0.3523,0.7789,-0.0264,0.7767
2026-05-05,NG=F,2.792,2.792,3.076,3.145,3.129,,FLAT,0.0,10.1719,12.6433,-0.0,12.6433
2026-05-05,SI=F,73.660004,73.400002,73.660004,74.014999,,,BACKWARDATION,-0.353,0.0,0.4819,4.236,0.8379
2026-05-05,HG=F,5.9885,5.9595,5.9885,6.015,,,BACKWARDATION,-0.4843,0.0,0.4425,5.8116,0.9313
